-16280,240,-2560,-324,110,-252
-16160,336,-2648,-337,70,-265
-16252,288,-2584,-297,124,-264
-16248,280,-2568,-290,63,-290
-16036,204,-2508,-318,84,-269
-16064,324,-2576,-323,87,-250
-16112,332,-2588,-283,89,-269
-16000,248,-2648,-337,126,-233
-16152,208,-2480,-307,77,-268
-16188,260,-2516,-316,126,-258
-16264,264,-2612,-321,78,-260
-16180,124,-2612,-301,148,-259
-16200,344,-2732,-309,140,-273
-16116,256,-2556,-294,77,-269
-16104,244,-2456,-321,74,-284
-16144,156,-2648,-309,82,-231
-16136,276,-2528,-313,119,-246
-16192,196,-2548,-302,53,-257
-16164,276,-2664,-309,82,-251
-16100,292,-2672,-310,41,-257
-16212,384,-2604,-288,-9,-253
-16128,388,-2680,-325,117,-270
-16184,180,-2500,-316,118,-250
-16076,188,-2692,-316,102,-252
-16100,244,-2572,-331,135,-278
-16156,308,-2592,-338,88,-241
-16076,272,-2512,-305,55,-251
-16168,200,-2440,-330,77,-270
-16208,236,-2464,-321,92,-270
-16272,268,-2520,-330,32,-271
-16240,348,-2680,-301,53,-268
-16088,388,-2532,-293,136,-252
-16208,260,-2468,-293,111,-257
-16272,304,-2536,-326,99,-268
-16152,340,-2588,-324,60,-256
-16068,292,-2668,-317,107,-277
-16200,276,-2504,-316,92,-255
-16180,328,-2652,-315,74,-232
-16124,316,-2700,-320,75,-238
-16164,324,-2520,-341,95,-240
-16184,228,-2496,-306,139,-281
-16092,252,-2548,-328,131,-227
-16200,268,-2720,-341,93,-288
-16156,276,-2560,-322,86,-258
-16140,344,-2648,-308,153,-239
-16072,172,-2664,-324,126,-257
-16228,308,-2576,-305,67,-261
-16132,236,-2580,-311,129,-251
-16188,252,-2644,-328,57,-234
-15980,236,-2612,-322,55,-246
-16124,280,-2480,-331,90,-245
-16188,212,-2564,-293,68,-245
-16092,280,-2608,-293,102,-270
-16116,208,-2536,-305,72,-270
-16104,276,-2608,-327,32,-272
-16116,228,-2628,-282,103,-247
-16060,324,-2484,-303,115,-248
-16220,336,-2556,-302,141,-272
-16212,352,-2596,-319,135,-252
-16220,256,-2636,-320,12,-278
-16176,240,-2636,-297,148,-272
-16080,248,-2424,-320,29,-277
-16252,312,-2540,-298,93,-282
-16068,256,-2400,-313,88,-270
-16160,160,-2560,-338,67,-260
-16256,124,-2644,-325,52,-275
-16204,224,-2596,-311,119,-258
-16160,264,-2484,-310,164,-265
-16188,88,-2536,-321,203,-250
-16136,112,-2632,-322,93,-260
-16160,268,-2588,-325,99,-274
-16100,268,-2580,-327,92,-260
-15964,180,-2504,-324,101,-266
-16152,316,-2680,-344,97,-256
-16116,176,-2588,-296,106,-252
-16224,448,-2560,-311,100,-272
-16024,240,-2496,-320,83,-272
-16188,396,-2608,-294,83,-277
-16192,224,-2556,-302,98,-260
-16100,144,-2420,-334,76,-237
-16156,240,-2744,-320,100,-278
-16180,304,-2744,-305,114,-257
-16120,180,-2660,-307,71,-239
-16132,92,-2528,-302,189,-256
-16200,168,-2644,-316,34,-245
-16108,164,-2624,-306,27,-258
-16116,308,-2672,-328,129,-261
-16232,232,-2724,-312,94,-252
-16220,320,-2628,-309,77,-257
-16056,240,-2620,-332,84,-252
-16212,292,-2724,-292,124,-277
-16144,156,-2604,-309,60,-252
-16028,220,-2492,-318,163,-261
-16188,320,-2732,-314,45,-282
-16100,296,-2600,-326,133,-216
-16112,236,-2636,-276,282,-265
-16164,340,-2576,-314,96,-278
-16136,324,-2536,-324,64,-256
-16172,332,-2592,-318,77,-256
-16248,212,-2648,-314,121,-261
-16164,216,-2508,-294,41,-255
-16024,244,-2600,-313,65,-243
-16152,284,-2588,-334,114,-246
-16108,240,-2668,-320,89,-281
-16072,260,-2496,-325,139,-254
-16116,396,-2484,-299,50,-266
-16156,312,-2660,-295,59,-268
-16168,156,-2556,-327,141,-260
-16128,228,-2592,-322,99,-259
-16080,88,-2608,-316,74,-290
-16244,384,-2480,-302,80,-262
-15996,148,-2600,-299,26,-256
-16224,220,-2608,-290,-134,-249
-16032,240,-2612,-299,71,-271
-16108,148,-2680,-298,138,-268
-16052,204,-2636,-320,17,-231
-16116,136,-2592,-320,41,-247
-16236,216,-2788,-327,147,-255
-16160,364,-2572,-311,109,-249
-16176,308,-2716,-337,94,-279
-16156,276,-2552,-296,42,-251
-16200,196,-2492,-284,119,-287
-16000,240,-2504,-337,93,-233
-16256,192,-2588,-309,37,-264
-16176,192,-2488,-325,82,-264
-16188,152,-2688,-328,109,-241
-16052,260,-2512,-311,76,-266
-16180,308,-2536,-292,94,-277
-16140,248,-2552,-301,77,-252
-16148,316,-2664,-294,60,-261
-15944,-28,-2652,-331,106,-235
-16164,180,-2644,-334,120,-266
-16188,320,-2568,-303,84,-260
-16236,196,-2544,-309,100,-241
-16168,244,-2656,-329,74,-262
-16072,40,-2548,-318,136,-246
-16044,196,-2620,-346,101,-237
-16132,332,-2448,-303,71,-240
-16120,312,-2508,-296,89,-248
-16020,116,-2624,-330,86,-239
-15996,100,-2700,-320,119,-250
-16080,216,-2628,-312,81,-260
-16120,368,-2620,-312,105,-258
-16004,304,-2572,-330,70,-279
-16268,308,-2536,-310,65,-260
-16132,264,-2632,-291,130,-256
-16120,292,-2584,-307,94,-249
-16096,248,-2584,-295,149,-230
-16216,252,-2656,-307,95,-259
